dataset,model,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,n_trees,height,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,n_trees_std,height_std
covertype,HST,0.2186632752195617,0.953284806565159,0.3025919228450874,0.22470904207699194,0.46309963099630996,234.475243806839,50000.0,25.0,15.0,,,,,,,,,
creditcard,HST,0.3510285672023652,0.9566988556397206,0.4444444444444445,0.45714285714285713,0.43243243243243246,236.982750415802,50000.0,25.0,15.0,,,,,,,,,
shuttle,HST,0.7043279230944773,0.9692009111813261,0.813082918103999,0.73725671918443,0.906294502990601,231.60124969482422,50000.0,25.0,15.0,,,,,,,,,
