,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
0,0.5865776383967121,0.9833158597872523,0.5876887340301974,0.7931034482758621,0.466789667896679,25.174549341201782,Completed,AE,50000,minmax,none,42,0.001,hd-sgd,covertype
1,0.5600005213528251,0.9772108251229303,0.5464982778415615,0.723404255319149,0.43911439114391143,24.039555311203003,Completed,AE,50000,minmax,none,43,0.001,hd-sgd,covertype
2,0.3966937219909972,0.9578582759623544,0.40369088811995385,0.5384615384615384,0.32287822878228783,24.523532152175903,Completed,AE,50000,minmax,none,44,0.001,hd-sgd,covertype
3,0.5491830660220555,0.9846565179833529,0.5078776645041705,0.5102420856610801,0.5055350553505535,32.60342597961426,Completed,AE,50000,minmax,none,45,0.001,hd-sgd,covertype
4,0.43196047148126293,0.967835879681131,0.45283018867924524,0.7114624505928854,0.33210332103321033,27.226470708847046,Completed,AE,50000,minmax,none,46,0.001,hd-sgd,covertype
5,0.31279818981341506,0.9610921503488964,0.30555555555555547,0.3629441624365482,0.26383763837638374,26.78681755065918,Completed,AE,50000,minmax,none,47,0.001,hd-sgd,covertype
6,0.6245662417806485,0.9828884965423718,0.6153846153846154,0.858085808580858,0.4797047970479705,24.010425806045532,Completed,AE,50000,minmax,none,48,0.001,hd-sgd,covertype
7,0.5002342227491219,0.9685160945385992,0.5135135135135135,0.7683823529411765,0.3856088560885609,24.774811029434204,Completed,AE,50000,minmax,none,49,0.001,hd-sgd,covertype
8,0.47619935506686556,0.9708407401919464,0.4754716981132076,0.7470355731225297,0.34870848708487084,24.786957502365112,Completed,AE,50000,minmax,none,50,0.001,hd-sgd,covertype
9,0.563027844947046,0.9805924263294555,0.5547945205479452,0.7275449101796407,0.4483394833948339,24.0523681640625,Completed,AE,50000,minmax,none,51,0.001,hd-sgd,covertype
10,0.6572396298619835,0.9864327837746409,0.6303664921465969,0.7288135593220338,0.5553505535055351,29.09923005104065,Completed,AE,50000,minmax,none,42,0.0020000000000000005,hd-sgd,covertype
11,0.6415592134555343,0.9843167836021439,0.6352413019079686,0.8108882521489972,0.522140221402214,28.026483297348022,Completed,AE,50000,minmax,none,43,0.0020000000000000005,hd-sgd,covertype
12,0.5297247646323857,0.9719377983540846,0.5146579804560262,0.6253298153034301,0.43726937269372695,27.204713344573975,Completed,AE,50000,minmax,none,44,0.0020000000000000005,hd-sgd,covertype
13,0.7056136209891511,0.9888624050015825,0.6531483457844184,0.7746835443037975,0.5645756457564576,24.36073875427246,Completed,AE,50000,minmax,none,45,0.0020000000000000005,hd-sgd,covertype
14,0.5517631978762758,0.9745729314626641,0.5894962486602358,0.7033248081841432,0.507380073800738,24.259838342666626,Completed,AE,50000,minmax,none,46,0.0020000000000000005,hd-sgd,covertype
15,0.5155774693226653,0.9713188379002557,0.529192546583851,0.8098859315589354,0.3929889298892989,27.82866358757019,Completed,AE,50000,minmax,none,47,0.0020000000000000005,hd-sgd,covertype
16,0.6967412900705368,0.9876567900096082,0.6790393013100438,0.8315508021390374,0.5738007380073801,25.696956634521484,Completed,AE,50000,minmax,none,48,0.0020000000000000005,hd-sgd,covertype
17,0.633232338010351,0.971191703303664,0.625287356321839,0.8292682926829268,0.5018450184501845,25.2232346534729,Completed,AE,50000,minmax,none,49,0.0020000000000000005,hd-sgd,covertype
18,0.5867681372460541,0.9772931940164967,0.587957497048406,0.8163934426229508,0.45940959409594095,23.063166618347168,Completed,AE,50000,minmax,none,50,0.0020000000000000005,hd-sgd,covertype
19,0.6816959670830103,0.9858140098445749,0.6792849631966351,0.7897310513447433,0.5959409594095941,20.46134877204895,Completed,AE,50000,minmax,none,51,0.0020000000000000005,hd-sgd,covertype
20,0.730768447133659,0.9899226806777348,0.6937561942517344,0.7494646680942184,0.6457564575645757,24.007248163223267,Completed,AE,50000,minmax,none,42,0.004000000000000001,hd-sgd,covertype
21,0.7119111940623741,0.9894293253256444,0.6982758620689655,0.8393782383419689,0.5977859778597786,29.55999755859375,Completed,AE,50000,minmax,none,43,0.004000000000000001,hd-sgd,covertype
22,0.6504062682149683,0.9801616683520954,0.621196222455404,0.7201946472019465,0.5461254612546126,24.765305042266846,Completed,AE,50000,minmax,none,44,0.004000000000000001,hd-sgd,covertype
23,0.7919205130524384,0.9905568614705923,0.7276302851524089,0.7789473684210526,0.6826568265682657,22.575112104415894,Completed,AE,50000,minmax,none,45,0.004000000000000001,hd-sgd,covertype
24,0.6223972090521409,0.9813838093494364,0.6398503274087932,0.6489563567362429,0.6309963099630996,20.545844316482544,Completed,AE,50000,minmax,none,46,0.004000000000000001,hd-sgd,covertype
25,0.7084173482137125,0.9831185922559214,0.7288888888888889,0.9162011173184358,0.6051660516605166,33.747453689575195,Completed,AE,50000,minmax,none,47,0.004000000000000001,hd-sgd,covertype
26,0.7318966731700493,0.9892763758403081,0.7117948717948718,0.8013856812933026,0.6402214022140221,23.336768865585327,Completed,AE,50000,minmax,none,48,0.004000000000000001,hd-sgd,covertype
27,0.7304729754626078,0.9775175447981583,0.7024185068349107,0.8166259168704156,0.6162361623616236,26.74615216255188,Completed,AE,50000,minmax,none,49,0.004000000000000001,hd-sgd,covertype
28,0.6751328970091304,0.9819154393776135,0.6598639455782314,0.8558823529411764,0.5369003690036901,25.011467456817627,Completed,AE,50000,minmax,none,50,0.004000000000000001,hd-sgd,covertype
