dataset,model,anom_fraction,ROC-AUC,PR-AUC,max_f1_score,max_f1_threshold,max_f1_precision,max_f1_recall,runtime,avg_memory,roc_auc_std,pr_auc_std,max_f1_score_std,max_f1_threshold_std,max_f1_precision_std,max_f1_recall_std,runtime_std,avg_memory_std
covertype,DAE,0.005,0.819001181909548,0.135483787177056,0.225190348470719,2.85612132033699,0.350615018238783,0.1672,22.4087122440338,0,0.00876645632338781,0.0323869689514777,0.0337353789348402,0.131886505623371,0.0860577694005949,0.0192665513260677,0.448129409120017,0
covertype,DAE,0.01,0.732716153535353,0.152094510605643,0.234152590344671,2.65863620023407,0.395796857283067,0.168,21.7490303993225,0,0.0162988244574618,0.0284678762667881,0.0197885821741659,0.097543325944527,0.0605401349453222,0.0201494416796099,0.475870560641077,0
covertype,DAE,0.015,0.699280974619289,0.158623204260892,0.230004341412477,2.61264267218425,0.448302116394288,0.1552,21.5258820533752,0,0.0125417366057599,0.013670597571964,0.0138683201742539,0.0647236779755532,0.0534901926472394,0.0100044434572288,0.0351172855138386,0
covertype,DAE,0.02,0.683674081632653,0.168283546332298,0.23508959122053,2.47332536924213,0.44431074607828,0.1602,21.4374601840973,0,0.011098376679611,0.0210580697768708,0.0131910195030988,0.0953104641569302,0.0494319313322954,0.00867179335547153,0.0750265660726451,0
covertype,DAE,0.025,0.670279926153846,0.186898875835795,0.250352004917609,2.22405521255676,0.386453137608318,0.18768,21.3524681568146,0,0.0137021958277106,0.0189108057577951,0.0154668171285392,0.110671670960972,0.0495547559620416,0.0218767456446337,0.1153201653655,0
covertype,DAE,0.03,0.669770432989691,0.19290701092566,0.24859518342106,2.24118494834892,0.426068792925868,0.1764,21.3178676605225,0,0.00948743262525133,0.0107428990214357,0.00589549815354823,0.0675748207775308,0.0360830548842989,0.0114075998059773,0.119227630937141,0
covertype,DAE,0.035,0.658914892079941,0.203661457651136,0.255937835967878,2.16203123457625,0.430662022532334,0.182971428571429,21.3405830860138,0,0.0113704687267858,0.00913209736382754,0.00337233315159775,0.0915516833147804,0.044666127366968,0.0079938752064519,0.155964839073574,0
covertype,DAE,0.04,0.648212254166667,0.206008537289413,0.254177399350816,2.10592565278338,0.434635894835419,0.1817,23.9074496746063,0,0.010887496241856,0.0155452383544416,0.0133360756005119,0.14525614495564,0.0762076845565959,0.0108085614213918,4.02653427479107,0
covertype,DAE,0.045,0.645087113903432,0.217721524430361,0.262493968062078,2.06672006714513,0.45091346770196,0.185511111111111,21.0856453895569,0,0.0117121516312682,0.0153361118210686,0.0142319742344226,0.054924221267722,0.0495956765074692,0.00733400670309127,0.166269918968176,0
covertype,DAE,0.05,0.639151983157895,0.22081982080314,0.257791755945319,1.97880285961239,0.424707955703856,0.18824,21.222012090683,0,0.0133310270247767,0.0134817524282335,0.011993270469178,0.1477406134732,0.0809857341506327,0.0118611972414255,0.309759938052927,0
